names,x
Full travel time [h],382.98333333333335
Full traveled distance [m],7368615.960847891
Valid travel time [h],208.15694444444443
Valid traveled distance [m],5359318.323361672
Traveled distance in exposure [m],3255864.1071613403
Speeding distance [m],1451798.227233886
