names,x
Full travel time [h],382.97833333333335
Full traveled distance [m],9259453.276452515
Valid travel time [h],228.6838888888889
Valid traveled distance [m],5911665.212945719
Traveled distance in exposure [m],3594832.3185222195
Speeding distance [m],1599049.9027811808
