variables,neg,pos,prop_neg,prop_pos
DCSU,118,0,100%,0%
DSC,118,0,100%,0%
PAR,118,0,100%,0%
TSD,118,0,100%,0%
SND,96,22,81%,19%
DIS,84,34,71%,29%
AVI,71,47,60%,40%
PD,21,97,18%,82%
BSD,14,104,12%,88%
LDI,0,118,0%,100%
