model,i,p_value
gaussian,0.18519722033143107,0.001
bisquare,0.14320041467715144,0.008
tricube,0.14684829530230326,0.005
boxcar,0.14447060646670878,0.003
exponential,0.1736552402562687,0.005
global,0.195292299876217,0.001
