kernel,RSS.gw,AIC,AICc,enp,edf,gw.R2,gwR2.adj,BIC,bandwidth
gaussian,1.4469630357285055,-143.90202440242334,-124.49639042638651,14.528027912277555,92.47197208772245,0.3429163530776793,0.23855510071467378,-203.5046961556684,94
bisquare,1.305371482981944,-150.00298485103832,-121.6203837527992,21.688198510704602,85.3118014892954,0.40721481237125967,0.2547279410626244,-191.54335187793265,106
tricube,1.3534183618556423,-147.32078050261683,-121.24347764306009,19.415775978591174,87.58422402140883,0.38539613586466204,0.24757644554004066,-193.21492485921715,106
boxcar,1.499787502561403,-141.67943199035088,-124.90221756417054,11.290799848110224,95.70920015188977,0.3189281153299114,0.2377338245994164,-207.21025674407343,104
exponential,1.3124953576230654,-150.43528850708017,-124.03170868235537,21.62976062452443,85.37023937547558,0.40397977359430237,0.25117974695034073,-195.70230218782115,94
