item,values
Full travel time [h],381.44944444444445
Full traveled distance [km],9443.831988029819
Valid travel time [h],220.3527777777778
Valid traveled distance [km],5687.700055689822
Valid trips,821
Traveled distance in exposure [km],3441.107706737792
Speeding distance [km],1518.1255846267425
