kernel,RSS.gw,AIC,AICc,enp,edf,gw.R2,gwR2.adj,BIC,bandwidth
gaussian,1.5665363175442626,-160.16368895011402,-141.90494387398203,13.750272112725693,103.2497278872743,0.2821950807975133,0.1856665797753051,-230.28096759391676,111
bisquare,1.4363112494433934,-165.32251024613305,-138.50209947209206,21.199301416171277,95.80069858382872,0.34186570154176654,0.1946939235511298,-216.6459592843865,115
tricube,1.4749754027024813,-163.3733369714414,-138.66106371537947,18.984667701896917,98.01533229810308,0.3241493427856038,0.19189395758630123,-219.0560607074728,115
boxcar,1.5869852017439425,-159.2113619719113,-141.8383574319031,11.896545960680866,105.10345403931913,0.2728251673736468,0.18972639896465193,-231.45448684451415,105
exponential,1.475326732100079,-164.2467482446216,-141.1216863144946,19.199432037047856,97.80056796295216,0.3239883596235592,0.18990815928188265,-223.32023124464052,115
