variables,W,p_value
AVI,13,0.0021703099102479907
PD,40,0.2973449666948119
SND,29,0.06982518685305063
PAR,31.5,0.09802860525502717
DIS,87,0.035169027738687186
TSD,4,7.505394502298527e-5
DCSU,8,4.190511930450011e-4
LDI,53,0.8675548050161054
BSD,31,0.09501829439909935
DSC,5,4.6080012800071856e-4
