VAR,mean,sd,min,1q,median,3q,max
AVI,2785.488776449244,1551.4526134956327,882.1200448688768,1638.8157723819838,2311.848925874521,3650.655620528534,9293.81227492768
BSD,3.117693320474333,2.2091583089863094,0.29227764745337537,1.797361458382077,2.5553832742884626,3.5367208529300638,13.90319634086136
DCSU,896.9185277247673,1229.8734807244675,12.30094374325465,350.697526698753,560.6204154331906,888.7294778444,9539.732512354305
DIS,4.512068752417203,0.9969631061701967,0.8768329423601261,3.8594229176445616,4.493774528097776,4.995159751356709,7.554549195119742
DSC,0.06727667760809049,0.08760798440828403,0,0,0.04289985495204477,0.08676515938776175,0.532015308840376
LDI,0.6270909542867629,0.21090885289125283,0,0.5485264711297249,0.6558726648576927,0.7678124481346504,0.9946615048890733
PAR,0.05228177718627463,0.04898699796941406,0,0,0.045829407276285476,0.07624786990920321,0.20729226874793485
PD,5599.128085029279,2989.1253146103018,114.67654005808366,3287.1131326276873,5348.320051990048,7214.385194993166,16142.062410456308
SND,15.118495223770694,4.04315124362535,3.6826224520450803,12.601085211322886,15.720620308643316,18.18674350086974,22.588446932151992
SP,0.3273487971762978,0.14413367375194502,0.06504077358725331,0.20362835285711064,0.3182106930109759,0.43464057314304455,0.7599942308734314
TSD,0.40846407060541845,0.4928705527889143,0,0.11310402770572808,0.22303707714089913,0.5083658159654488,2.753192235155458
