model,i,p_value
gaussian,0.1915861828073867,0.003
bisquare,0.16104942182665993,0.005
tricube,0.1627249733305138,0.003
boxcar,0.19129094252270046,0.002
exponential,0.18313536672023578,0.002
global,0.20297326888748624,0.001
