variables,neg,pos,prop_neg,prop_pos
DSC,107,0,100%,0%
PAR,107,0,100%,0%
TSD,107,0,100%,0%
SND,106,1,99%,1%
AVI,99,8,93%,7%
DCSU,96,11,90%,10%
DIS,43,64,40%,60%
BSD,0,107,0%,100%
LDI,0,107,0%,100%
PD,0,107,0%,100%
